Gene,CellType,Cohort,Diagnosis,Sex,Individual,Residuals
STX16,0.708205353,0.073407854,0.002664803,0.004781618,0.048243386,0.162696986
STX17-AS1,0.067876175,0.083558545,0,0,0.155402091,0.693163189
STX18,0.534234377,0.135621358,0.005085695,3.19E-11,0.094251134,0.230807436
STX18-AS1,0.347780485,0.141115884,0.040653734,0,0.269793964,0.200655933
STX19,0.040257857,0.327035567,0,7.52E-08,0.220910441,0.41179606
STX1A,0.348941214,0.20789713,0.121686904,7.54E-09,0.062551174,0.25892357
STX1B,0.478459714,0.245374426,0,0,0.086168782,0.189997078
STX2,0.574595017,0.050392443,0.019107137,3.15E-10,0.086798549,0.269106853
STX3,0.682336176,0.040685689,0,0.003254638,0.053873404,0.219850093
STX4,0.37333508,0.222062159,0.011513189,5.98E-10,0.076576017,0.316513555
STX5,0.26801476,0.07965575,9.64E-11,4.10E-10,0.181103699,0.47122579
STX6,0.428864309,0.02798279,0,0.006345906,0.051073103,0.485733893
STX7,0.843115108,0.008000776,4.60E-11,0.000182927,0.013206828,0.135494362
STX8,0.644491009,0.048585645,0,0,0.116059801,0.190863545
STXBP1,0.803023443,0.059911114,2.90E-11,0.00261798,0.047405786,0.087041677
STXBP3,0.876440706,0.010999565,0,2.18E-10,0.016632831,0.095926898
STXBP4,0.642624963,0.032102555,0,6.48E-11,0.058155566,0.267116916
STXBP5,0.693662228,0.120939337,0.013599495,0.005443829,0.038987188,0.127367921
STXBP5-AS1,0.774894868,0.016802536,0.005162001,0.001016261,0.061439474,0.140684859
STXBP5L,0.831994197,0.045059161,0.01581313,0,0.029698283,0.07743523
STXBP6,0.887679583,0.006773225,0,0.002179743,0.006998382,0.096369067
STYK1,0.834483163,0.019195302,4.09E-11,0.000250163,0.028787295,0.117284077
STYX,0.399118098,0.071840773,0,1.04E-09,0.049180916,0.479860212
SUB1,0.107764992,0.12461522,0.360933736,0.007881682,0.120177068,0.278627302
SUCLG2-AS1,0.835123725,0.007026044,0,0,0.027652531,0.1301977
SUCO,0.626028668,0.041081863,0.013905577,8.30E-11,0.059861388,0.259122505
SUDS3,0.15967495,0.356719995,0.042936967,0.008276922,0.179490725,0.252900441
SUFU,0.646166864,0.070348911,0,0,0.088127422,0.195356803
SUGP1,0.094955811,0.178216072,0.011227711,7.33E-06,0.405541998,0.310051075
SUGP2,0.239060692,0.245524945,0.017441633,0.00588117,0.259217282,0.232874277
SUGT1,0.217781651,0.001713859,0.002588668,1.03E-10,0.530097556,0.247818267
SULF1,0.881340082,0.000882216,0.000293081,0.000317096,0,0.117167525
SULF2,0.871361978,0.005121826,0.000803082,1.93E-10,0.0068787,0.115834414
SULT1A1,0.433295912,0.112030217,0,0.022628714,0.259376385,0.172668772
SULT4A1,0.346055995,0.265126528,0.106317595,0.001753567,0.079237177,0.201509138
SUMF1,0.581976671,0.000613193,0.012607212,0,0.175426074,0.22937685
SUMF2,0.075194429,0.416891636,0.026008893,0.004682583,0.297344565,0.179877895
SUMO1,0.111839821,0.266045493,0.056450571,5.44E-08,0.159140937,0.406523124
SUMO2,0.064825914,0.310918916,0.032314315,0.008598475,0.232446371,0.35089601
SUMO3,0.136675992,0.126009609,0.369713465,0.016855815,0.113783775,0.236961344
SUMO4,0.479991435,0.036126722,0.001464996,0.005023878,0.045372037,0.432020932
SUN1,0.367633047,0.048125459,0,0.024292676,0.275128165,0.284820653
SUN2,0.721310312,0.053923474,0.000112518,0,0.005917297,0.218736398
SUPT16H,0.145014554,0.260533279,0,0.007252222,0.180731014,0.406468931
SUPT20H,0.389165055,0.044068684,7.76E-10,3.82E-11,0.25844406,0.3083222
SUPT3H,0.644015085,0.186053576,0.000665301,0,0.063004868,0.10626117
SUPT4H1,0.016331447,0.410493394,0.056720519,0,0.148013201,0.368441439
SUPT5H,0.129012621,0.377313049,0,0,0.170737806,0.322936524
SUPT6H,0.234408331,0.153522648,0.026141586,0,0.242583818,0.343343617
SUPT7L,0.050891158,0.52032512,0.033441972,0.000680509,0.13507161,0.259589632
SURF4,0.13968714,0.413448124,0.036604484,0,0.129387826,0.280872426
SURF6,0.190768826,0.173546657,0,3.40E-09,0.151184202,0.484500312
SUSD1,0.669464165,0.020926085,0.01458426,0.007646454,0.083102197,0.20427684
SUSD4,0.75772451,0.027881852,0.012602037,1.99E-09,0.059321941,0.142469658
SUSD5,0.820375956,0,0.002203359,0,0.019341902,0.158078782
SUSD6,0.866732806,0.001735124,0,6.77E-10,0.00250808,0.129023991
SUV39H2,0.124354173,0.056635883,0,1.41E-10,0.144267935,0.674742009
SUZ12,0.465214839,0.093740876,7.16E-07,1.84E-10,0.144256023,0.296787545
SV2A,0.408957825,0.265636305,0.046391862,0.000146351,0.068465032,0.210402624
SV2B,0.90691722,0.010308213,0.001741546,2.29E-07,0.018070501,0.062962292
SV2C,0.917435497,0.00039786,0.000981527,0,0.002330609,0.078854507
SVBP,0.212343621,0.254826093,0.048952503,0,0.108917364,0.374960419
SVEP1,0.729543911,0.000451499,0.002734056,1.59E-10,0.005365507,0.261905027
SVIL,0.715205003,0.009145726,1.23E-09,0.001273884,0.053541973,0.220833413
SVIP,0.677588911,0.059511495,0.0004253,0.005788281,0.054730056,0.201955958
SVOP,0.788550694,0.033659587,1.80E-07,0.003594087,0.073171219,0.101024232
SWAP70,0.770373104,0.007239348,0,0,0.000182973,0.222204575
SWI5,0.304944023,0.142766048,0.019947589,0.009514411,0.171472853,0.351355076
SWT1,0.567304672,0.054061434,0,0,0.075751931,0.302881963
SYBU,0.909356732,0.009459832,0,3.96E-10,0.021254875,0.059928561
SYCE1,0.615816504,0.017606177,1.81E-10,3.82E-09,0.140619462,0.225957853
SYCE2,0.170267952,0.043954484,3.96E-09,0,0.388680105,0.397097455
SYCP2,0.368039102,0.005479937,5.78E-10,1.99E-09,0.170353143,0.456127816
SYCP2L,0.223229952,0.123700913,7.36E-09,0,0.307527311,0.345541817
SYCP3,0.122915627,0.211970058,0.029082519,3.55E-09,0.149629873,0.486401919
SYDE2,0.616338771,0.027279388,0.005369204,0,0.044966199,0.306046439
SYF2,0.03100777,0.480674864,0.042570346,0,0.145961129,0.299785891
SYMPK,0.214386424,0.159388244,0,9.30E-11,0.21770359,0.408521742
SYN2,0.829530672,0.021177787,0,0,0.047985955,0.101305585
SYN3,0.715814634,0.031997429,0.024137152,0,0.04255297,0.185497815
SYNC,0.019801159,0.494641109,0.153578945,0,0.215261399,0.116717387
SYNCRIP,0.610789783,0.015906106,0.008813146,0.001996043,0.081289071,0.281205851
SYNDIG1,0.711877729,0.008678586,0.002495553,0.000706435,0.00574172,0.270499977
SYNE1,0.593658447,0.082383049,0.019872699,0.003411047,0.051282701,0.249392057
SYNE2,0.389919045,0.046572456,0,0,0.03963028,0.523878219
SYNE3,0.80686882,0.008298315,1.74E-10,0.000253772,0.027338742,0.15724035
SYNGAP1,0.515822555,0.218394224,0,0.004383127,0.080166061,0.181234034
SYNGAP1-AS1,0.029071956,0.330029724,0.19083128,0.000803413,0.16891188,0.280351747
SYNGR1,0.245487025,0.407686018,0.036671687,0,0.115649525,0.194505745
SYNGR2,0.499319894,0.104841001,0.015064551,9.56E-07,0.004834599,0.375938998
SYNGR3,0.295201396,0.332676725,0.082822138,0,0.076464104,0.212835638
SYNJ1,0.533392388,0.032471906,0.182016879,0,0.062097311,0.190021516
SYNJ2,0.910780044,0.002324008,0.000920575,0.000169553,0.008199512,0.07760631
SYNM,0.323353891,0.058355187,0.000997465,0,0.178763528,0.438529928
SYNPO,0.662115831,0.08860553,3.36E-10,4.61E-10,0.07049313,0.178785509
SYNPO2,0.890920188,0.014117357,3.20E-09,0,0.021176242,0.073786209
SYNPR,0.96147639,0.000576387,0.000514645,0.000663942,0.002625589,0.034143047
SYNPR-AS1,0.340865556,0.090344207,0.007735323,2.34E-07,0.055118004,0.505936676
SYNRG,0.786040557,0.015752699,0.000572989,3.86E-09,0.035015842,0.162617909
SYPL1,0.522829506,0.059319507,0.02406663,0.000389015,0.01560578,0.377789562
SYS1,0.119596616,0.19119114,0,0,0.178792057,0.510420187
SYT1,0.893471143,0.004319238,8.09E-12,0.006390841,0.037693736,0.058125041
SYT10,0.78548349,0,0.000110994,0.003503552,0.013771693,0.197130271
